timestamp,dataset,noise type, noise level, noisy mae, noisy psnr, noisy ssim, denoised mae bm3d, denoised psnr bm3d, denoised ssim bm3d,denoised mae nlm, denoised psnr nlm, denoised ssim nlm,denoised mae wave, denoised psnr wav, denoised ssim wav
11_03_2023_00_46_52,faciesmark,gaussian,0.001,0.07975558936595917,25.982988357543945,0.4935762286186218,0.033166851848363876,33.38632583618164,0.8344520926475525,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_00_54_57,faciesmark,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762286186218,0.03316684812307358,33.38632583618164,0.8344519138336182,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_02_35,faciesmark,gaussian,0.025,0.07975558936595917,25.982988357543945,0.4935762286186218,0.033166851848363876,33.38632583618164,0.8344520926475525,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_10_05,faciesmark,gaussian,0.05,0.07975558936595917,25.982988357543945,0.4935762286186218,0.033166855573654175,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_17_33,faciesmark,gaussian,0.1,0.07975558936595917,25.982988357543945,0.4935762286186218,0.033166855573654175,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_24_57,faciesmark,gaussian,0.25,0.07975558936595917,25.982988357543945,0.4935762286186218,0.03316684812307358,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_32_25,faciesmark,gaussian,0.5,0.07975558936595917,25.982988357543945,0.4935762286186218,0.03316684812307358,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_39_52,faciesmark,mixed,0.0,0.07975558936595917,25.982988357543945,0.4935762286186218,0.033166851848363876,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_47_22,faciesmark,poisson,0.05,0.07975558936595917,25.982988357543945,0.4935762286186218,0.03316684812307358,33.38632583618164,0.8344519734382629,0.0521540530025959,29.69464874267578,0.7133340835571289,0.05419079586863518,29.230409622192383,0.661361813545227
11_03_2023_01_54_55,interpretation,gaussian,0.001,0.07978484779596329,23.298255920410156,0.5904058218002319,0.05124054476618767,26.926584243774414,0.7166931629180908,0.07104029506444931,24.252273559570312,0.5958755016326904,0.06650730967521667,24.832792282104492,0.6086329221725464
11_03_2023_02_05_29,interpretation,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.05124054104089737,26.926584243774414,0.716693103313446,0.07104029506444931,24.252273559570312,0.5958755016326904,0.06650730967521667,24.832792282104492,0.6086329221725464
